sample,hclust_cluster,kmeans_cluster,cluster_consensus
GSM330201,3,3,0.9633521437644958
GSM330202,3,3,0.9622408747673035
GSM330203,3,3,0.9634850025177002
GSM330204,3,3,0.9615182876586914
GSM330205,3,3,0.9653633236885071
GSM330206,3,3,0.9622344374656677
GSM330207,3,3,0.9640310406684875
GSM330208,3,4,0.2454128861427307
GSM330209,3,3,0.9617894291877747
GSM330210,3,3,0.9608745574951172
GSM330211,3,3,0.9679752588272095
GSM330212,3,3,0.962155282497406
GSM330213,3,3,0.9592329859733582
GSM330214,3,3,0.9623584151268005
GSM330215,3,3,0.9628282785415649
GSM330216,3,3,0.9616147875785828
GSM330217,3,3,0.9635839462280273
GSM330218,3,3,0.9600468277931213
GSM330219,3,3,0.9620301127433777
GSM330220,3,3,0.9629837870597839
GSM330221,3,3,0.9594458937644958
GSM330222,3,3,0.9616298675537109
GSM330223,3,3,0.9582273364067078
GSM330224,3,3,0.9630482196807861
GSM330225,3,3,0.9623786807060242
GSM330226,3,3,0.9601327180862427
GSM330227,3,3,0.9622023105621338
GSM330228,3,3,0.9623578786849976
GSM330229,3,3,0.6658902764320374
GSM330230,3,3,0.9091510772705078
GSM330231,3,3,0.9623462557792664
GSM330232,3,3,0.9636673927307129
GSM330233,3,3,0.43900465965270996
GSM330234,3,3,0.9608924984931946
GSM330235,3,3,0.9647466540336609
GSM330236,3,3,0.9657937288284302
GSM330237,3,3,0.9622094035148621
GSM330238,3,3,0.963427722454071
GSM330239,3,3,0.9613492488861084
GSM330240,3,3,0.9604708552360535
GSM330241,2,4,0.11500729620456696
GSM330242,3,3,0.9631617665290833
GSM330243,3,3,0.9610881805419922
GSM330244,3,3,0.9631359577178955
GSM330245,3,3,0.9642484188079834
GSM330246,3,3,0.9650108218193054
GSM330247,3,3,0.9608698487281799
GSM330248,3,3,0.9600455164909363
GSM330249,3,3,0.9615358710289001
GSM330250,3,3,0.9593096971511841
GSM330251,3,3,0.9607492685317993
GSM330252,3,3,0.9673389196395874
GSM330253,3,3,0.9610908627510071
GSM330254,3,3,0.9638155698776245
GSM330255,3,3,0.9624415636062622
